hn_id,timepoint,component,stage,filename,url,selected_for_frozen_pair_set
HN14,post,barcodes,metadata,GSE288199_HN14_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN14_post_T_barcodes.tsv.gz,True
HN14,post,features,metadata,GSE288199_HN14_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN14_post_T_features.tsv.gz,True
HN14,post,matrix,matrix,GSE288199_HN14_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN14_post_T_matrix.mtx.gz,True
HN14,pre,barcodes,metadata,GSE288199_HN14_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN14_pre_T_barcodes.tsv.gz,True
HN14,pre,features,metadata,GSE288199_HN14_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN14_pre_T_features.tsv.gz,True
HN14,pre,matrix,matrix,GSE288199_HN14_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN14_pre_T_matrix.mtx.gz,True
HN16,post,barcodes,metadata,GSE288199_HN16_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN16_post_T_barcodes.tsv.gz,True
HN16,post,features,metadata,GSE288199_HN16_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN16_post_T_features.tsv.gz,True
HN16,post,matrix,matrix,GSE288199_HN16_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN16_post_T_matrix.mtx.gz,True
HN16,pre,barcodes,metadata,GSE288199_HN16_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN16_pre_T_barcodes.tsv.gz,True
HN16,pre,features,metadata,GSE288199_HN16_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN16_pre_T_features.tsv.gz,True
HN16,pre,matrix,matrix,GSE288199_HN16_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN16_pre_T_matrix.mtx.gz,True
HN19,post,barcodes,metadata,GSE288199_HN19_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN19_post_T_barcodes.tsv.gz,True
HN19,post,features,metadata,GSE288199_HN19_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN19_post_T_features.tsv.gz,True
HN19,post,matrix,matrix,GSE288199_HN19_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN19_post_T_matrix.mtx.gz,True
HN19,pre,barcodes,metadata,GSE288199_HN19_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN19_pre_T_barcodes.tsv.gz,True
HN19,pre,features,metadata,GSE288199_HN19_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN19_pre_T_features.tsv.gz,True
HN19,pre,matrix,matrix,GSE288199_HN19_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN19_pre_T_matrix.mtx.gz,True
HN20,post,barcodes,metadata,GSE288199_HN20_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN20_post_T_barcodes.tsv.gz,True
HN20,post,features,metadata,GSE288199_HN20_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN20_post_T_features.tsv.gz,True
HN20,post,matrix,matrix,GSE288199_HN20_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN20_post_T_matrix.mtx.gz,True
HN20,pre,barcodes,metadata,GSE288199_HN20_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN20_pre_T_barcodes.tsv.gz,True
HN20,pre,features,metadata,GSE288199_HN20_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN20_pre_T_features.tsv.gz,True
HN20,pre,matrix,matrix,GSE288199_HN20_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN20_pre_T_matrix.mtx.gz,True
HN21,post,barcodes,metadata,GSE288199_HN21_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN21_post_T_barcodes.tsv.gz,True
HN21,post,features,metadata,GSE288199_HN21_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN21_post_T_features.tsv.gz,True
HN21,post,matrix,matrix,GSE288199_HN21_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN21_post_T_matrix.mtx.gz,True
HN21,pre,barcodes,metadata,GSE288199_HN21_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN21_pre_T_barcodes.tsv.gz,True
HN21,pre,features,metadata,GSE288199_HN21_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN21_pre_T_features.tsv.gz,True
HN21,pre,matrix,matrix,GSE288199_HN21_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN21_pre_T_matrix.mtx.gz,True
HN22,post,barcodes,metadata,GSE288199_HN22_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN22_post_T_barcodes.tsv.gz,True
HN22,post,features,metadata,GSE288199_HN22_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN22_post_T_features.tsv.gz,True
HN22,post,matrix,matrix,GSE288199_HN22_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN22_post_T_matrix.mtx.gz,True
